Izin_Adi,Tam_Deger,Koruma_Seviyesi,Aciklama
GET_ACCOUNTS_PRIVILEGED,android.permission.GET_ACCOUNTS_PRIVILEGED,signature,"Allows access to the list of accounts in the Accounts Service. Protection level: signature|privileged Constant Value: ""android.permission.GET_ACCOUNTS_PRIVILEGED"""
GET_PACKAGE_SIZE,android.permission.GET_PACKAGE_SIZE,normal,"Allows an application to find out the space used by any package. Protection level: normal Constant Value: ""android.permission.GET_PACKAGE_SIZE"""
GET_TASKS,android.permission.GET_TASKS,Unknown,"Deprecated in API level 21 This constant was deprecated in API level 21. No longer enforced. Constant Value: ""android.permission.GET_TASKS"""
GLOBAL_SEARCH,android.permission.GLOBAL_SEARCH,signature,"This permission can be used on content providers to allow the global search system to access their data. Typically it used when the provider has some permissions protecting it (which global search would not be expected to hold), and added as a read-only permission to the path in the provider where global search queries are performed. This permission can not be held by regular applications; it is used by applications to protect themselves from everyone else besides global search. Protection level: signature|privileged Constant Value: ""android.permission.GLOBAL_SEARCH"""
HIDE_OVERLAY_WINDOWS,android.permission.HIDE_OVERLAY_WINDOWS,Unknown,"Allows an app to prevent non-system-overlay windows from being drawn on top of it Constant Value: ""android.permission.HIDE_OVERLAY_WINDOWS"""
HIGH_SAMPLING_RATE_SENSORS,android.permission.HIGH_SAMPLING_RATE_SENSORS,normal,"Allows an app to access sensor data with a sampling rate greater than 200 Hz. Protection level: normal Constant Value: ""android.permission.HIGH_SAMPLING_RATE_SENSORS"""
INSTALL_LOCATION_PROVIDER,android.permission.INSTALL_LOCATION_PROVIDER,Unknown,"Allows an application to install a location provider into the Location Manager. Not for use by third-party applications. Constant Value: ""android.permission.INSTALL_LOCATION_PROVIDER"""
INSTALL_PACKAGES,android.permission.INSTALL_PACKAGES,Unknown,"Allows an application to install packages. Not for use by third-party applications. Constant Value: ""android.permission.INSTALL_PACKAGES"""
INSTALL_SHORTCUT,android.permission.INSTALL_SHORTCUT,normal,"Allows an application to install a shortcut in Launcher. In Android O (API level 26) and higher, the INSTALL_SHORTCUT broadcast no longer has any effect on your app because it's a private, implicit broadcast. Instead, you should create an app shortcut by using the requestPinShortcut() method from the ShortcutManager class. Protection level: normal Constant Value: ""com.android.launcher.permission.INSTALL_SHORTCUT"""
INSTANT_APP_FOREGROUND_SERVICE,android.permission.INSTANT_APP_FOREGROUND_SERVICE,signature,"Allows an instant app to create foreground services. Protection level: signature|development|instant|appop Constant Value: ""android.permission.INSTANT_APP_FOREGROUND_SERVICE"""
INTERACT_ACROSS_PROFILES,android.permission.INTERACT_ACROSS_PROFILES,Unknown,"Allows interaction across profiles in the same profile group. Constant Value: ""android.permission.INTERACT_ACROSS_PROFILES"""
KILL_BACKGROUND_PROCESSES,android.permission.KILL_BACKGROUND_PROCESSES,normal,"Allows an application to call ActivityManager.killBackgroundProcesses(String) . As of Android version Build.VERSION_CODES.UPSIDE_DOWN_CAKE , the ActivityManager.killBackgroundProcesses(String) is no longer available to third party applications. For backwards compatibility, the background processes of the caller's own package will still be killed when calling this API. If the caller has the system permission KILL_ALL_BACKGROUND_PROCESSES , other processes will be killed too. Protection level: normal Constant Value: ""android.permission.KILL_BACKGROUND_PROCESSES"""
LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE,android.permission.LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE,internal,"Allows an application to capture screen content to perform a screenshot using the intent action Intent.ACTION_LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE . Protection level: internal|role Intended for use by ROLE_NOTES only. Constant Value: ""android.permission.LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE"""
LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK,android.permission.LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK,Unknown,"An application needs this permission for Settings.ACTION_SETTINGS_EMBED_DEEP_LINK_ACTIVITY to show its Activity embedded in Settings app. Constant Value: ""android.permission.LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK"""
LOADER_USAGE_STATS,android.permission.LOADER_USAGE_STATS,signature,"Allows a data loader to read a package's access logs. The access logs contain the set of pages referenced over time. Declaring the permission implies intention to use the API and the user of the device can grant permission through the Settings application. Protection level: signature|privileged|appop A data loader has to be the one which provides data to install an app. A data loader has to have both permission:LOADER_USAGE_STATS AND appop:LOADER_USAGE_STATS allowed to be able to access the read logs. Constant Value: ""android.permission.LOADER_USAGE_STATS"""
LOCATION_HARDWARE,android.permission.LOCATION_HARDWARE,Unknown,"Allows an application to use location features in hardware, such as the geofencing api. Not for use by third-party applications. Constant Value: ""android.permission.LOCATION_HARDWARE"""
MANAGE_DEVICE_LOCK_STATE,android.permission.MANAGE_DEVICE_LOCK_STATE,internal,"Allows financed device kiosk apps to perform actions on the Device Lock service Protection level: internal|role Intended for use by the FINANCED_DEVICE_KIOSK role only. Constant Value: ""android.permission.MANAGE_DEVICE_LOCK_STATE"""
MANAGE_DEVICE_POLICY_ACCESSIBILITY,android.permission.MANAGE_DEVICE_POLICY_ACCESSIBILITY,internal,"Allows an application to manage policy related to accessibility. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ACCESSIBILITY"""
MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT,android.permission.MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT,internal,"Allows an application to set policy related to account management. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT"""
MANAGE_DEVICE_POLICY_ACROSS_USERS,android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS,internal,"Allows an application to set device policies outside the current user that are required for securing device ownership without accessing user data. Holding this permission allows the use of other held MANAGE_DEVICE_POLICY_* permissions across all users on the device provided they do not grant access to user data. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS"""
MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL,android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL,internal,"Allows an application to set device policies outside the current user. Fuller form of MANAGE_DEVICE_POLICY_ACROSS_USERS that removes the restriction on accessing user data. Holding this permission allows the use of any other held MANAGE_DEVICE_POLICY_* permissions across all users on the device. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL"""
MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL,android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL,internal,"Allows an application to set device policies outside the current user that are critical for securing data within the current user. Holding this permission allows the use of other held MANAGE_DEVICE_POLICY_* permissions across all users on the device provided they are required for securing data within the current user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL"""
MANAGE_DEVICE_POLICY_AIRPLANE_MODE,android.permission.MANAGE_DEVICE_POLICY_AIRPLANE_MODE,internal,"Allows an application to set policy related to airplane mode. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_AIRPLANE_MODE"""
MANAGE_DEVICE_POLICY_APPS_CONTROL,android.permission.MANAGE_DEVICE_POLICY_APPS_CONTROL,internal,"Allows an application to manage policy regarding modifying applications. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_APPS_CONTROL"""
MANAGE_DEVICE_POLICY_APP_FUNCTIONS,android.permission.MANAGE_DEVICE_POLICY_APP_FUNCTIONS,internal,"Allows an application to manage policy related to AppFunctions. Protection level: internal|role Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_APP_FUNCTIONS"""
MANAGE_DEVICE_POLICY_APP_RESTRICTIONS,android.permission.MANAGE_DEVICE_POLICY_APP_RESTRICTIONS,internal,"Allows an application to manage application restrictions. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_APP_RESTRICTIONS"""
MANAGE_DEVICE_POLICY_APP_USER_DATA,android.permission.MANAGE_DEVICE_POLICY_APP_USER_DATA,internal,"Allows an application to manage policy related to application user data. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_APP_USER_DATA"""
MANAGE_DEVICE_POLICY_ASSIST_CONTENT,android.permission.MANAGE_DEVICE_POLICY_ASSIST_CONTENT,internal,"Allows an application to set policy related to sending assist content to a privileged app such as the Assistant app. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ASSIST_CONTENT"""
MANAGE_DEVICE_POLICY_AUDIO_OUTPUT,android.permission.MANAGE_DEVICE_POLICY_AUDIO_OUTPUT,internal,"Allows an application to set policy related to audio output. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_AUDIO_OUTPUT"""
MANAGE_DEVICE_POLICY_AUTOFILL,android.permission.MANAGE_DEVICE_POLICY_AUTOFILL,internal,"Allows an application to set policy related to autofill. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_AUTOFILL"""
MANAGE_DEVICE_POLICY_BACKUP_SERVICE,android.permission.MANAGE_DEVICE_POLICY_BACKUP_SERVICE,internal,"Allows an application to manage backup service policy. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_BACKUP_SERVICE"""
MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL,android.permission.MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL,internal,"Allows an application to manage policy related to block package uninstallation. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL"""
MANAGE_DEVICE_POLICY_BLUETOOTH,android.permission.MANAGE_DEVICE_POLICY_BLUETOOTH,internal,"Allows an application to set policy related to bluetooth. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_BLUETOOTH"""
MANAGE_DEVICE_POLICY_BUGREPORT,android.permission.MANAGE_DEVICE_POLICY_BUGREPORT,internal,"Allows an application to request bugreports with user consent. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_BUGREPORT"""
MANAGE_DEVICE_POLICY_CALLS,android.permission.MANAGE_DEVICE_POLICY_CALLS,internal,"Allows an application to manage calling policy. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_CALLS"""
MANAGE_DEVICE_POLICY_CAMERA,android.permission.MANAGE_DEVICE_POLICY_CAMERA,internal,"Allows an application to set policy related to restricting a user's ability to use or enable and disable the camera. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_CAMERA"""
MANAGE_DEVICE_POLICY_CAMERA_TOGGLE,android.permission.MANAGE_DEVICE_POLICY_CAMERA_TOGGLE,internal,"Allows an application to manage policy related to camera toggle. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_CAMERA_TOGGLE"""
MANAGE_DEVICE_POLICY_CERTIFICATES,android.permission.MANAGE_DEVICE_POLICY_CERTIFICATES,internal,"Allows an application to set policy related to certificates. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_CERTIFICATES"""
MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE,android.permission.MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE,internal,"Allows an application to manage policy related to common criteria mode. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE"""
MANAGE_DEVICE_POLICY_CONTENT_PROTECTION,android.permission.MANAGE_DEVICE_POLICY_CONTENT_PROTECTION,internal,"Allows an application to manage policy related to content protection. Protection level: internal|role Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_CONTENT_PROTECTION"""
MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES,android.permission.MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES,internal,"Allows an application to manage debugging features policy. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES"""
MANAGE_DEVICE_POLICY_DEFAULT_SMS,android.permission.MANAGE_DEVICE_POLICY_DEFAULT_SMS,internal,"Allows an application to set policy related to the default sms application. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_DEFAULT_SMS"""
MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS,android.permission.MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS,internal,"Allows an application to manage policy related to device identifiers. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS"""
MANAGE_DEVICE_POLICY_DISPLAY,android.permission.MANAGE_DEVICE_POLICY_DISPLAY,internal,"Allows an application to set policy related to the display. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_DISPLAY"""
MANAGE_DEVICE_POLICY_FACTORY_RESET,android.permission.MANAGE_DEVICE_POLICY_FACTORY_RESET,internal,"Allows an application to set policy related to factory reset. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_FACTORY_RESET"""
MANAGE_DEVICE_POLICY_FUN,android.permission.MANAGE_DEVICE_POLICY_FUN,internal,"Allows an application to set policy related to fun. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_FUN"""
MANAGE_DEVICE_POLICY_INPUT_METHODS,android.permission.MANAGE_DEVICE_POLICY_INPUT_METHODS,internal,"Allows an application to set policy related to input methods. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_INPUT_METHODS"""
MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES,android.permission.MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES,internal,"Allows an application to manage installing from unknown sources policy. MANAGE_SECURITY_CRITICAL_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES"""
MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES,android.permission.MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES,internal,"Allows an application to set policy related to keeping uninstalled packages. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES"""
MANAGE_DEVICE_POLICY_KEYGUARD,android.permission.MANAGE_DEVICE_POLICY_KEYGUARD,internal,"Allows an application to manage policy related to keyguard. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_KEYGUARD"""
MANAGE_DEVICE_POLICY_LOCALE,android.permission.MANAGE_DEVICE_POLICY_LOCALE,internal,"Allows an application to set policy related to locale. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_LOCALE"""
MANAGE_DEVICE_POLICY_LOCATION,android.permission.MANAGE_DEVICE_POLICY_LOCATION,internal,"Allows an application to set policy related to location. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_LOCATION"""
MANAGE_DEVICE_POLICY_LOCK,android.permission.MANAGE_DEVICE_POLICY_LOCK,internal,"Allows an application to lock a profile or the device with the appropriate cross-user permission. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_LOCK"""
MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS,android.permission.MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS,internal,"Allows an application to set policy related to lock credentials. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS"""
MANAGE_DEVICE_POLICY_LOCK_TASK,android.permission.MANAGE_DEVICE_POLICY_LOCK_TASK,internal,"Allows an application to manage lock task policy. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_LOCK_TASK"""
MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,android.permission.MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,internal,"Allows an application to set policy related to subscriptions downloaded by an admin. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS"""
MANAGE_DEVICE_POLICY_METERED_DATA,android.permission.MANAGE_DEVICE_POLICY_METERED_DATA,internal,"Allows an application to manage policy related to metered data. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_METERED_DATA"""
MANAGE_DEVICE_POLICY_MICROPHONE,android.permission.MANAGE_DEVICE_POLICY_MICROPHONE,internal,"Allows an application to set policy related to restricting a user's ability to use or enable and disable the microphone. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MICROPHONE"""
MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE,android.permission.MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE,internal,"Allows an application to manage policy related to microphone toggle. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE"""
MANAGE_DEVICE_POLICY_MOBILE_NETWORK,android.permission.MANAGE_DEVICE_POLICY_MOBILE_NETWORK,internal,"Allows an application to set policy related to mobile networks. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MOBILE_NETWORK"""
MANAGE_DEVICE_POLICY_MODIFY_USERS,android.permission.MANAGE_DEVICE_POLICY_MODIFY_USERS,internal,"Allows an application to manage policy preventing users from modifying users. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MODIFY_USERS"""
MANAGE_DEVICE_POLICY_MTE,android.permission.MANAGE_DEVICE_POLICY_MTE,internal,"Allows an application to manage policy related to the Memory Tagging Extension (MTE). Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_MTE"""
MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION,android.permission.MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION,internal,"Allows an application to set policy related to nearby communications (e.g. Beam and nearby streaming). Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION"""
MANAGE_DEVICE_POLICY_NETWORK_LOGGING,android.permission.MANAGE_DEVICE_POLICY_NETWORK_LOGGING,internal,"Allows an application to set policy related to network logging. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_NETWORK_LOGGING"""
MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY,android.permission.MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY,internal,"Allows an application to manage the identity of the managing organization. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY"""
MANAGE_DEVICE_POLICY_OVERRIDE_APN,android.permission.MANAGE_DEVICE_POLICY_OVERRIDE_APN,internal,"Allows an application to set policy related to override APNs. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_OVERRIDE_APN"""
MANAGE_DEVICE_POLICY_PACKAGE_STATE,android.permission.MANAGE_DEVICE_POLICY_PACKAGE_STATE,internal,"Allows an application to set policy related to hiding and suspending packages. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_PACKAGE_STATE"""
MANAGE_DEVICE_POLICY_PHYSICAL_MEDIA,android.permission.MANAGE_DEVICE_POLICY_PHYSICAL_MEDIA,internal,"Allows an application to set policy related to physical media. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_PHYSICAL_MEDIA"""
MANAGE_DEVICE_POLICY_PRINTING,android.permission.MANAGE_DEVICE_POLICY_PRINTING,internal,"Allows an application to set policy related to printing. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_PRINTING"""
MANAGE_DEVICE_POLICY_PRIVATE_DNS,android.permission.MANAGE_DEVICE_POLICY_PRIVATE_DNS,internal,"Allows an application to set policy related to private DNS. Manifest.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL is required to call APIs protected by this permission on users different to the calling user. Protection level: internal|role Intended for use by the DEVICE_POLICY_MANAGEMENT role only. Constant Value: ""android.permission.MANAGE_DEVICE_POLICY_PRIVATE_DNS"""
