App Name,Total Score,Installs,Review Matches TR,Review Matches EN,Desc Matches,Package Name,,Score,URL
ATAK Plugin: Fire Area Survey,7,5000,,,atak,com.atakmap.android.firesurvey.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.firesurvey.plugin&hl=tr&gl=tr
Coordinate Converter,7,1000,,,"UTM, KOORDINAT, MGRS",com.devFresta.CoordinateConverter,,,https://play.google.com/store/apps/details?id=com.devFresta.CoordinateConverter&hl=tr&gl=tr
Mantis Laser Academy,7,100000,,,tatbikat,com.bookoo.mantis.lasertrainer,,3.5714285,https://play.google.com/store/apps/details?id=com.bookoo.mantis.lasertrainer&hl=tr&gl=tr
Mission iSmart,7,100,,,mission,com.devanasoft.mission,,,https://play.google.com/store/apps/details?id=com.devanasoft.mission&hl=tr&gl=tr
Waypoint Analytical,7,1000,,WAYPOINT,WAYPOINT,com.waypoint.waypoint,,,https://play.google.com/store/apps/details?id=com.waypoint.waypoint&hl=tr&gl=tr
Survivors Squad,7,10000,,,"birlik, squad",com.and.xcz.en,,,https://play.google.com/store/apps/details?id=com.and.xcz.en&hl=tr&gl=tr
Askeri Personel,6,1000,,,askeri personel,com.askeripersonel.app1,,4.9166665,https://play.google.com/store/apps/details?id=com.askeripersonel.app1&hl=tr&gl=tr
Arena Breakout: Realistic FPS,6,50000000,,combat,UTM,com.proximabeta.mf.uamo,,4.123337,https://play.google.com/store/apps/details?id=com.proximabeta.mf.uamo&hl=tr&gl=tr
JaviKurye Operasyon,6,10,,,operasyon,com.javikuryeapp,,,https://play.google.com/store/apps/details?id=com.javikuryeapp&hl=tr&gl=tr
TOY WARS,6,10000000,birlik,,"atak, birlik",com.hts.ams,,4.0604568,https://play.google.com/store/apps/details?id=com.hts.ams&hl=tr&gl=tr
Applied Ballistics Connect,6,5000,,strelok,,com.ab.connect.app,,,https://play.google.com/store/apps/details?id=com.ab.connect.app&hl=tr&gl=tr
Airgun Ballistics,6,1000,,,"UTM, Ballistics",com.airgunballistics,,0,https://play.google.com/store/apps/details?id=com.airgunballistics&hl=tr&gl=tr
UTM,6,10,,,"UTM, KOORDINAT",br.com.b256.utm,,,https://play.google.com/store/apps/details?id=br.com.b256.utm&hl=tr&gl=tr
SIEGE: World War II,6,5000000,birlik,,"birlik, operasyon",com.simutronics.b17,,4.4382715,https://play.google.com/store/apps/details?id=com.simutronics.b17&hl=tr&gl=tr
Phonetic Alphabet Trainer,6,50,,mission,,eu.tynet.phoneticalphabettrainer,,,https://play.google.com/store/apps/details?id=eu.tynet.phoneticalphabettrainer&hl=tr&gl=tr
toPhonetics Converter,6,500000,,atak,birlik,com.mu_sonic.tophonetics2.freemium,,4.3333335,https://play.google.com/store/apps/details?id=com.mu_sonic.tophonetics2.freemium&hl=tr&gl=tr
Lingokids - Play and Learn,6,50000000,MOA,,MOA,es.monkimun.lingokids,,4.3685503,https://play.google.com/store/apps/details?id=es.monkimun.lingokids&hl=tr&gl=tr
Airwave - Push To Talk,6,1000,,mission,,com.wavelengthlabs.airwave,,,https://play.google.com/store/apps/details?id=com.wavelengthlabs.airwave&hl=tr&gl=tr
Tactical War: Tower Defense,6,10000000,,tactical,,com.magenta.TacticDefense,,4.4554596,https://play.google.com/store/apps/details?id=com.magenta.TacticDefense&hl=tr&gl=tr
BiPTT - push to talk PTT,6,100000,,Push to Talk,,com.biptt,,,https://play.google.com/store/apps/details?id=com.biptt&hl=tr&gl=tr
Rangers Cards,6,1000,,,ranger,com.rangerscards,,,https://play.google.com/store/apps/details?id=com.rangerscards&hl=tr&gl=tr
Shooter Blast Battlefield 2023,6,10000,,,battlefield,com.shooterblastz.battlefield2023,,,https://play.google.com/store/apps/details?id=com.shooterblastz.battlefield2023&hl=tr&gl=tr
Final Squad - The last troops,6,100000,,squad,,com.YEMA.FinalSquad,,4.0666666,https://play.google.com/store/apps/details?id=com.YEMA.FinalSquad&hl=tr&gl=tr
ST Squad,6,100,,,squad,br.com.wiki4fit.stsquad,,,https://play.google.com/store/apps/details?id=br.com.wiki4fit.stsquad&hl=tr&gl=tr
World War 2－FPS Shooting Games,6,50000000,,combat,"UTM, combat",com.edkongames.ww2,,4.469258,https://play.google.com/store/apps/details?id=com.edkongames.ww2&hl=tr&gl=tr
ISRU,6,10000,,combat,,com.nikecraft.isru,,,https://play.google.com/store/apps/details?id=com.nikecraft.isru&hl=tr&gl=tr
Mercado Libre: Compras online,6,100000000,,mission,atak,com.mercadolibre,,4.79,https://play.google.com/store/apps/details?id=com.mercadolibre&hl=tr&gl=tr
Waypoint® Attendance App,6,10,,,"UTM, WAYPOINT",com.waypoint.attendance,,,https://play.google.com/store/apps/details?id=com.waypoint.attendance&hl=tr&gl=tr
Lasta: Healthy Weight Loss,6,500000,,mission,"UTM, birlik",com.lasta,,4.3846154,https://play.google.com/store/apps/details?id=com.lasta&hl=tr&gl=tr
Infantry Attack: War 3D FPS,6,10000000,,tactical,birlik,com.niklas.fpsdefense,,3.8823528,https://play.google.com/store/apps/details?id=com.niklas.fpsdefense&hl=tr&gl=tr
Virtuagym: Fitness & Workouts,6,5000000,birlik,,birlik,digifit.virtuagym.client.android,,4.33,https://play.google.com/store/apps/details?id=digifit.virtuagym.client.android&hl=tr&gl=tr
ISR School on the Rhine,6,100,,,ISR,de.isrschool.schoolapp,,,https://play.google.com/store/apps/details?id=de.isrschool.schoolapp&hl=tr&gl=tr
The President: 20th Century 2,6,500000,,ISR,"UTM, birlik",com.oxiwyle.alternativehistory20thcentury2,,4.64,https://play.google.com/store/apps/details?id=com.oxiwyle.alternativehistory20thcentury2&hl=tr&gl=tr
Waypoint® Drivers App,6,50,,,"UTM, WAYPOINT",com.waypoint.driverapp,,,https://play.google.com/store/apps/details?id=com.waypoint.driverapp&hl=tr&gl=tr
Lords Mobile: Kingdom Wars,6,500000000,,,birlik,com.igg.android.lordsmobile,,4.3263717,https://play.google.com/store/apps/details?id=com.igg.android.lordsmobile&hl=tr&gl=tr
塔防三國志 - 經典塔防RPG,6,500000,,mission,tatbikat,com.bigbull.tdsgtw,,0,https://play.google.com/store/apps/details?id=com.bigbull.tdsgtw&hl=tr&gl=tr
Pokémon TCG Live,6,5000000,,combat,birlik,com.pokemon.pokemontcgl,,3.8,https://play.google.com/store/apps/details?id=com.pokemon.pokemontcgl&hl=tr&gl=tr
ATAK Plugin: TAK Chat,6,10000,,,atak,com.atakmap.android.takchat.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.takchat.plugin&hl=tr&gl=tr
Waypoint Bank,6,1000,,WAYPOINT,,com.waypointbank.mobile,,,https://play.google.com/store/apps/details?id=com.waypointbank.mobile&hl=tr&gl=tr
Land Navigation: Waypoint,6,1000,,,"WAYPOINT, KOORDINAT",com.ekik.waypointes,,,https://play.google.com/store/apps/details?id=com.ekik.waypointes&hl=tr&gl=tr
FieldPro: Smarter Field Work,6,10000,,mission,operasyon,com.optimetriks.fieldpro,,,https://play.google.com/store/apps/details?id=com.optimetriks.fieldpro&hl=tr&gl=tr
ATAK Plugin: UAS Tool,6,10000,,,atak,com.atakmap.android.uastool.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.uastool.plugin&hl=tr&gl=tr
Algorithms: Explained and Anim,5,1000000,,MOA,UTM,wiki.algorithm.algorithms,,4.54,https://play.google.com/store/apps/details?id=wiki.algorithm.algorithms&hl=tr&gl=tr
OsmAnd — Maps & GPS Offline,5,10000000,OFFLINE MAP,,KOORDINAT,net.osmand,,4.57,https://play.google.com/store/apps/details?id=net.osmand&hl=tr&gl=tr
Sygic GPS Navigation & Maps,5,50000000,,OFFLINE MAP,UTM,com.sygic.aura,,4.466644,https://play.google.com/store/apps/details?id=com.sygic.aura&hl=tr&gl=tr
Europe 1784 Military strategy,5,1000000,birlik,,birlik,com.oxiwyle.kievanrusageofempires,,4.2408757,https://play.google.com/store/apps/details?id=com.oxiwyle.kievanrusageofempires&hl=tr&gl=tr
Sinop Birlik,5,1000,,,birlik,com.ors.sinopbirlik,,4.2,https://play.google.com/store/apps/details?id=com.ors.sinopbirlik&hl=tr&gl=tr
Clash of Clans,5,500000000,,,birlik,com.supercell.clashofclans,,4.4738264,https://play.google.com/store/apps/details?id=com.supercell.clashofclans&hl=tr&gl=tr
Harry Potter: Hogwarts Mystery,5,50000000,ranger,,birlik,com.tinyco.potter,,4.1956916,https://play.google.com/store/apps/details?id=com.tinyco.potter&hl=tr&gl=tr
WAYPOINT,5,1000,,,WAYPOINT,com.bookfastpos.WAYPOINT,,,https://play.google.com/store/apps/details?id=com.bookfastpos.WAYPOINT&hl=tr&gl=tr
latitude longitude & compass,5,10000,,,"birlik, KOORDINAT",com.jenos.gpsLocation_digital_compass,,0,https://play.google.com/store/apps/details?id=com.jenos.gpsLocation_digital_compass&hl=tr&gl=tr
MMO Range Finder,5,1000,,Rangefinder,tatbikat,appinventor.ai_keating_marine.RangeFinder,,0,https://play.google.com/store/apps/details?id=appinventor.ai_keating_marine.RangeFinder&hl=tr&gl=tr
101 Okey Plus Rummy Board Game,5,10000000,,birlik,birlik,net.peakgames.Yuzbir,,4.430579,https://play.google.com/store/apps/details?id=net.peakgames.Yuzbir&hl=tr&gl=tr
Instant GPS Coordinates Pro,5,10,,,KOORDINAT,com.instantgpscoordinatespro,,,https://play.google.com/store/apps/details?id=com.instantgpscoordinatespro&hl=tr&gl=tr
Aero Ranger ANPR for parking,5,500,,,"devriye, ranger",com.aeroranger.infringement,,,https://play.google.com/store/apps/details?id=com.aeroranger.infringement&hl=tr&gl=tr
Voron RANGER Analog Watch Face,5,5000,,,ranger,com.watchfacestudio.voron_ranger,,0,https://play.google.com/store/apps/details?id=com.watchfacestudio.voron_ranger&hl=tr&gl=tr
Army Fitness,5,500,,,army fitness,com.arboxapp.armyfitness,,,https://play.google.com/store/apps/details?id=com.arboxapp.armyfitness&hl=tr&gl=tr
Solitaire Dragons,5,5000000,,ISR,birlik,com.solitaire.klondike.my.magic.dragon.friends.cardgames,,4.46,https://play.google.com/store/apps/details?id=com.solitaire.klondike.my.magic.dragon.friends.cardgames&hl=tr&gl=tr
War Plane Strike: Sky Combat,5,1000000,,,combat,com.thagiwara.aircraftmaster,,4.63,https://play.google.com/store/apps/details?id=com.thagiwara.aircraftmaster&hl=tr&gl=tr
AFT Calculator,5,10000,,,"kondisyon testi, PT test, birlik",com.reaperdevs.aftcalc,,,https://play.google.com/store/apps/details?id=com.reaperdevs.aftcalc&hl=tr&gl=tr
EA SPORTS FC™ Tactical,5,,,,tactical,com.ea.gp.tacticalfootball,,,https://play.google.com/store/apps/details?id=com.ea.gp.tacticalfootball&hl=tr&gl=tr
Unimeal: Fasting and Diet,5,1000000,,mission,UTM,com.unimeal.android,,3.96,https://play.google.com/store/apps/details?id=com.unimeal.android&hl=tr&gl=tr
Archero,5,50000000,birlik,,UTM,com.habby.archero,,4.073997,https://play.google.com/store/apps/details?id=com.habby.archero&hl=tr&gl=tr
iReal Pro: Backing Tracks,5,500000,birlik,,birlik,com.massimobiolcati.irealb,,4.81,https://play.google.com/store/apps/details?id=com.massimobiolcati.irealb&hl=tr&gl=tr
Skydiving Simulator,5,500000,,mission,UTM,com.freegames.skydivingsimulator,,3.3636363,https://play.google.com/store/apps/details?id=com.freegames.skydivingsimulator&hl=tr&gl=tr
Teamfit - Get active as a team,5,100000,,,birlik,com.xtheon.teamfit,,4.861111,https://play.google.com/store/apps/details?id=com.xtheon.teamfit&hl=tr&gl=tr
Basic Army Combat Training SIM,5,50000,,,"birlik, askeri personel",com.basic.army.combat.training.simulation.armytraininggame,,0,https://play.google.com/store/apps/details?id=com.basic.army.combat.training.simulation.armytraininggame&hl=tr&gl=tr
Idle Army Tycoon Military Base,5,100000,,,"birlik, tatbikat, operasyon",com.BigD.Idle.Army.Base.Military.Tycoon.Game,,3.3636363,https://play.google.com/store/apps/details?id=com.BigD.Idle.Army.Base.Military.Tycoon.Game&hl=tr&gl=tr
World War II Armored Recon,5,1000,,battlefield,UTM,org.hostedgames.ww2armored,,0,https://play.google.com/store/apps/details?id=org.hostedgames.ww2armored&hl=tr&gl=tr
Call of Duty®: Mobile,5,100000000,birlik,,operasyon,com.activision.callofduty.shooter,,4.086623,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter&hl=tr&gl=tr
כאן - תאגיד השידור הישראלי,5,1000000,ISR,,ISR,com.applicaster.il.ch1,,4.928571,https://play.google.com/store/apps/details?id=com.applicaster.il.ch1&hl=tr&gl=tr
Oversec,5,10000,,mission,UTM,io.oversec.one,,0,https://play.google.com/store/apps/details?id=io.oversec.one&hl=tr&gl=tr
OpSec Purchase,5,50,,,OPSEC,com.opsecsecurity.testpurchase,,,https://play.google.com/store/apps/details?id=com.opsecsecurity.testpurchase&hl=tr&gl=tr
Idle Air Force Base,5,1000000,,Barracks,birlik,com.neonplay.casualidleairforcebase,,3.44,https://play.google.com/store/apps/details?id=com.neonplay.casualidleairforcebase&hl=tr&gl=tr
"Fitify: Fitness, Home Workout",5,10000000,UTM,,birlik,com.fitifyworkouts.bodyweight.workoutapp,,4.7709618,https://play.google.com/store/apps/details?id=com.fitifyworkouts.bodyweight.workoutapp&hl=tr&gl=tr
Army ACFT Calc,5,500,,,ACFT,com.davesprojects.acftcalc,,,https://play.google.com/store/apps/details?id=com.davesprojects.acftcalc&hl=tr&gl=tr
Freeletics: Fitness Workouts,5,10000000,squad,,birlik,com.freeletics.lite,,4.4402986,https://play.google.com/store/apps/details?id=com.freeletics.lite&hl=tr&gl=tr
OUTERPLANE - Strategy Anime,5,1000000,,mission,UTM,com.smilegate.outerplane.stove.google,,4.44,https://play.google.com/store/apps/details?id=com.smilegate.outerplane.stove.google&hl=tr&gl=tr
DeadZone: Offline FPS Combat,5,1000000,,,"birlik, combat",com.bg.modern.warfare.commando.shooting.missionfire.games,,3.5555556,https://play.google.com/store/apps/details?id=com.bg.modern.warfare.commando.shooting.missionfire.games&hl=tr&gl=tr
Route4Me Route Planner,5,500000,,mission,birlik,com.route4me.routeoptimizer,,4.44,https://play.google.com/store/apps/details?id=com.route4me.routeoptimizer&hl=tr&gl=tr
Life360: Stay Connected & Safe,5,100000000,UTM,,UTM,com.life360.android.safetymapd,,4.428795,https://play.google.com/store/apps/details?id=com.life360.android.safetymapd&hl=tr&gl=tr
İsimli Aşk Testi - Aşk Ölçer,5,100000,UTM,,birlik,com.lafimsize.isimliasktesti,,2.95,https://play.google.com/store/apps/details?id=com.lafimsize.isimliasktesti&hl=tr&gl=tr
Death Zone Online (Zombie),5,100000,,squad,birlik,com.Enarchebl.DeathZoneOnline,,4,https://play.google.com/store/apps/details?id=com.Enarchebl.DeathZoneOnline&hl=tr&gl=tr
INTVL,5,500000,,mission,birlik,com.intvl.app,,4.3513513,https://play.google.com/store/apps/details?id=com.intvl.app&hl=tr&gl=tr
8fit Workouts & Meal Planner,5,10000000,,ISR,birlik,com.eightfit.app,,4.31,https://play.google.com/store/apps/details?id=com.eightfit.app&hl=tr&gl=tr
Army Tycoon : Idle Base,5,5000000,,,birlik,com.hg.armytycoonidlebase.android,,4.6534653,https://play.google.com/store/apps/details?id=com.hg.armytycoonidlebase.android&hl=tr&gl=tr
Clash of Dots — 1v1 RTS Games,5,1000000,UTM,,UTM,games.airion.townfights,,4.015873,https://play.google.com/store/apps/details?id=games.airion.townfights&hl=tr&gl=tr
Supremacy: World War 3,5,10000000,UTM,,birlik,com.doradogames.conflictnations.worldwar3,,3.9109848,https://play.google.com/store/apps/details?id=com.doradogames.conflictnations.worldwar3&hl=tr&gl=tr
Trimble ProjectSight,5,50000,,in the field,UTM,com.trimble.gccm.projectsight3,,,https://play.google.com/store/apps/details?id=com.trimble.gccm.projectsight3&hl=tr&gl=tr
WayPoint by USA C,5,0,,,WAYPOINT,com.thrivelearning.waypoint,,,https://play.google.com/store/apps/details?id=com.thrivelearning.waypoint&hl=tr&gl=tr
Toon Platoon,5,100,,,"birlik, platoon",com.ubacoda.rts,,,https://play.google.com/store/apps/details?id=com.ubacoda.rts&hl=tr&gl=tr
Standoff 2,5,100000000,,atak,birlik,com.axlebolt.standoff2,,4.654199,https://play.google.com/store/apps/details?id=com.axlebolt.standoff2&hl=tr&gl=tr
BombSquad,5,50000000,,,squad,net.froemling.bombsquad,,4.369599,https://play.google.com/store/apps/details?id=net.froemling.bombsquad&hl=tr&gl=tr
Ballistics Pro,5,100,,,Ballistics,com.nimoh.ballisticspro,,,https://play.google.com/store/apps/details?id=com.nimoh.ballisticspro&hl=tr&gl=tr
Waggle Squad: Pixel Swarm,5,100000,,,squad,net.ekgames.projectz,,0,https://play.google.com/store/apps/details?id=net.ekgames.projectz&hl=tr&gl=tr
Amazon Shopping,5,500000000,,mission,UTM,com.amazon.mShop.android.shopping,,4.2002864,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&hl=tr&gl=tr
"SIMON - Malls, Mills & Outlets",5,1000000,,mission,mission,com.simon.app.simonmalls,,4.841584,https://play.google.com/store/apps/details?id=com.simon.app.simonmalls&hl=tr&gl=tr
Barracks Coaching,5,1,,,"UTM, Barracks",com.kahunas.io.BarracksCoaching,,,https://play.google.com/store/apps/details?id=com.kahunas.io.BarracksCoaching&hl=tr&gl=tr
Squad Survivors!,5,1000,,,squad,squad.survivor,,,https://play.google.com/store/apps/details?id=squad.survivor&hl=tr&gl=tr
Squad - Elevate Your Hustle,5,500,,,squad,com.hypergiant.jupiter,,,https://play.google.com/store/apps/details?id=com.hypergiant.jupiter&hl=tr&gl=tr
Dark Battlefield,5,10000,,,battlefield,com.wanda.darktank.gp.west,,,https://play.google.com/store/apps/details?id=com.wanda.darktank.gp.west&hl=tr&gl=tr
Blaser Ballistics,5,100,,,"UTM, Ballistics, Rangefinder",com.appliedballisticsllc.blaser,,,https://play.google.com/store/apps/details?id=com.appliedballisticsllc.blaser&hl=tr&gl=tr
Mission Rescue - Save Pets,5,10000,,,mission,com.gamersadda.missionrescue,,,https://play.google.com/store/apps/details?id=com.gamersadda.missionrescue&hl=tr&gl=tr
Mission E1,5,500,,,mission,com.ribbon.missione1,,,https://play.google.com/store/apps/details?id=com.ribbon.missione1&hl=tr&gl=tr
Earth Mission App,5,10000,,,"birlik, mission",com.acer.earthmission,,,https://play.google.com/store/apps/details?id=com.acer.earthmission&hl=tr&gl=tr
Mill,5,10000,,mission,birlik,com.mill.android,,,https://play.google.com/store/apps/details?id=com.mill.android&hl=tr&gl=tr
Travel Squad,5,1000,,,"birlik, squad",com.tts.travelsquad,,,https://play.google.com/store/apps/details?id=com.tts.travelsquad&hl=tr&gl=tr
Shadow Fight 4: Arena,5,50000000,,combat,atak,com.nekki.shadowfightarena,,4.5531964,https://play.google.com/store/apps/details?id=com.nekki.shadowfightarena&hl=tr&gl=tr
Senalux - laser optics puzzle,5,10000,,mission,birlik,com.pixel_with_hat.senalux,,,https://play.google.com/store/apps/details?id=com.pixel_with_hat.senalux&hl=tr&gl=tr
NielsenIQ Consumer Panel,4,1000000,,mission,,com.nielsen.consumerpanel,,4.25,https://play.google.com/store/apps/details?id=com.nielsen.consumerpanel&hl=tr&gl=tr
MGRS Wear,4,10000,,,"UTM, MGRS",com.jamesjmtaylor.mgrswear,,,https://play.google.com/store/apps/details?id=com.jamesjmtaylor.mgrswear&hl=tr&gl=tr
Mini laser engraving machine,4,10000,,mission,,com.huahuico.printer,,0,https://play.google.com/store/apps/details?id=com.huahuico.printer&hl=tr&gl=tr
MGR,4,10000,,atak,,com.mgrapp.mgr,,,https://play.google.com/store/apps/details?id=com.mgrapp.mgr&hl=tr&gl=tr
Match Masters,4,50000000,ISR,,,com.funtomic.matchmasters,,4.499248,https://play.google.com/store/apps/details?id=com.funtomic.matchmasters&hl=tr&gl=tr
Photo Exif Editor Pro - Metada,4,10000,,mission,,net.xnano.android.photoexifeditor.pro,,4,https://play.google.com/store/apps/details?id=net.xnano.android.photoexifeditor.pro&hl=tr&gl=tr
Phonetic Keyboard English BETA,4,100000,,mission,,com.hoardingsinc.phoneticskeyboard,,4.75,https://play.google.com/store/apps/details?id=com.hoardingsinc.phoneticskeyboard&hl=tr&gl=tr
Shift Roster,4,50,,,"birlik, Shift Roster",com.techrafta.shiftroster,,,https://play.google.com/store/apps/details?id=com.techrafta.shiftroster&hl=tr&gl=tr
Military Quiz,4,50000,,mission,,com.wave.wtquiz,,3.3333333,https://play.google.com/store/apps/details?id=com.wave.wtquiz&hl=tr&gl=tr
Shadow Hunter: Offline Premium,4,1000000,,combat,,com.eapublishing.dhsw.paid,,4.7085714,https://play.google.com/store/apps/details?id=com.eapublishing.dhsw.paid&hl=tr&gl=tr
Medscape,4,5000000,,in the field,,com.medscape.android,,4.31,https://play.google.com/store/apps/details?id=com.medscape.android&hl=tr&gl=tr
Indeed Flex,4,1000000,,mission,,com.syftapp.android,,0,https://play.google.com/store/apps/details?id=com.syftapp.android&hl=tr&gl=tr
Wonolo,4,1000000,,mission,,com.wonolodroid,,0,https://play.google.com/store/apps/details?id=com.wonolodroid&hl=tr&gl=tr
Bullet Ballistics,4,100,,,Ballistics,com.bulletballistics,,,https://play.google.com/store/apps/details?id=com.bulletballistics&hl=tr&gl=tr
FCES SQUAD,4,1000,,,squad,com.app.vclassesapp.squad,,,https://play.google.com/store/apps/details?id=com.app.vclassesapp.squad&hl=tr&gl=tr
Todays Mission - Day Challenge,4,500,,,mission,com.LongTailGames.TodaysMission,,,https://play.google.com/store/apps/details?id=com.LongTailGames.TodaysMission&hl=tr&gl=tr
Warplane Inc: WW2 Dogfight PvP,4,1000000,UTM,,,com.DL.war.planes.inc.online.bomber.fighter.aircraft.ww2,,4.3069305,https://play.google.com/store/apps/details?id=com.DL.war.planes.inc.online.bomber.fighter.aircraft.ww2&hl=tr&gl=tr
First Strike - Nuclear RTS,4,5000000,,tactical,,com.blindflugstudios.firststrike.free,,4.02,https://play.google.com/store/apps/details?id=com.blindflugstudios.firststrike.free&hl=tr&gl=tr
Base Commander,4,5000000,,,"birlik, operasyon",com.base.commander,,4.41,https://play.google.com/store/apps/details?id=com.base.commander&hl=tr&gl=tr
Grab - Taxi & Food Delivery,4,100000000,,mission,,com.grabtaxi.passenger,,4.827586,https://play.google.com/store/apps/details?id=com.grabtaxi.passenger&hl=tr&gl=tr
Aspirus MedEvac EMS Protocols,4,100,,,MEDEVAC,com.acidremap.PPPAspirusMedEvacEMSProtocols,,,https://play.google.com/store/apps/details?id=com.acidremap.PPPAspirusMedEvacEMSProtocols&hl=tr&gl=tr
Tactical Gambit: Pixel Mercs,4,10000,,,birlik,com.ysgames.pixelautobattler,,0,https://play.google.com/store/apps/details?id=com.ysgames.pixelautobattler&hl=tr&gl=tr
Voron TACTICAL-D Watch Face,4,500,,,tactical,com.watchfacestudio.tacticalua_d,,,https://play.google.com/store/apps/details?id=com.watchfacestudio.tacticalua_d&hl=tr&gl=tr
Mission-V,4,100,,,mission,com.rivendellsyn.missionv,,,https://play.google.com/store/apps/details?id=com.rivendellsyn.missionv&hl=tr&gl=tr
Pocket Squad: PvP battle arena,4,10000,,,squad,com.TheoreticalStudio.Regrow,,3.375,https://play.google.com/store/apps/details?id=com.TheoreticalStudio.Regrow&hl=tr&gl=tr
Athlon Ballistic,4,10000,,Bullet Drop,,com.guide.ballistics.at,,,https://play.google.com/store/apps/details?id=com.guide.ballistics.at&hl=tr&gl=tr
TargetIR Ballistics,4,1000,,,birlik,com.guide.ballistics.target,,,https://play.google.com/store/apps/details?id=com.guide.ballistics.target&hl=tr&gl=tr
Mission Ötzi,4,10000,,,"UTM, birlik",com.keepinmind.suedtiroler_archaeologiemuseum,,,https://play.google.com/store/apps/details?id=com.keepinmind.suedtiroler_archaeologiemuseum&hl=tr&gl=tr
ParkMobile: Park. Pay. Go.,4,10000000,,ISR,,net.sharewire.parkmobilev2,,,https://play.google.com/store/apps/details?id=net.sharewire.parkmobilev2&hl=tr&gl=tr
Spades Plus - Card Game,4,10000000,atak,,,net.peakgames.mobile.spades.android,,4.53,https://play.google.com/store/apps/details?id=net.peakgames.mobile.spades.android&hl=tr&gl=tr
Super Sus,4,100000000,,,"birlik, squad",com.je.supersus,,4.3542714,https://play.google.com/store/apps/details?id=com.je.supersus&hl=tr&gl=tr
Pokémon TCG Pocket - Card Game,4,50000000,ISR,,,jp.pokemon.pokemontcgp,,4.4784055,https://play.google.com/store/apps/details?id=jp.pokemon.pokemontcgp&hl=tr&gl=tr
Garmin Golf,4,1000000,,mission,,com.garmin.android.apps.golf,,4.3125,https://play.google.com/store/apps/details?id=com.garmin.android.apps.golf&hl=tr&gl=tr
TC Total Control-Multi Control,4,100000,,,"birlik, KOORDINAT",com.sigma_rt.totalcontrol,,0,https://play.google.com/store/apps/details?id=com.sigma_rt.totalcontrol&hl=tr&gl=tr
Resource War: soul squad alpha,4,50000,,,squad,com.IvanPanasenko.ResourceWar,,3.8148148,https://play.google.com/store/apps/details?id=com.IvanPanasenko.ResourceWar&hl=tr&gl=tr
Adoddle Field,4,10000,,mission,,com.asite.Adoddle,,,https://play.google.com/store/apps/details?id=com.asite.Adoddle&hl=tr&gl=tr
"Scoopz: Real Life, Real Videos",4,5000000,,Surveillance,,com.localaiapp.scoops,,0,https://play.google.com/store/apps/details?id=com.localaiapp.scoops&hl=tr&gl=tr
Ranger Live,4,50,,,"ranger, operasyon",com.dcstech.rangerlive.ranger_live_report_app,,,https://play.google.com/store/apps/details?id=com.dcstech.rangerlive.ranger_live_report_app&hl=tr&gl=tr
Fifth Third: 53 Mobile Banking,4,1000000,,mission,,com.clairmail.fth,,0,https://play.google.com/store/apps/details?id=com.clairmail.fth&hl=tr&gl=tr
Brotato: Premium,4,500000,,MOA,,com.brotato.shooting.survivors.games.paid.android,,4.81,https://play.google.com/store/apps/details?id=com.brotato.shooting.survivors.games.paid.android&hl=tr&gl=tr
Catan Universe,4,1000000,UTM,,,com.usm.catanuniverse,,2.58,https://play.google.com/store/apps/details?id=com.usm.catanuniverse&hl=tr&gl=tr
Military Science Master,4,5000,,tactical,,com.outmaster.militarymaster,,,https://play.google.com/store/apps/details?id=com.outmaster.militarymaster&hl=tr&gl=tr
My Coach - TCY,4,100000,,mission,,com.TCYonline.android.tcyclassrooms,,,https://play.google.com/store/apps/details?id=com.TCYonline.android.tcyclassrooms&hl=tr&gl=tr
Ranger Connect,4,5,,,ranger,com.finalsite.hamiltonlocalk12ohus,,,https://play.google.com/store/apps/details?id=com.finalsite.hamiltonlocalk12ohus&hl=tr&gl=tr
Grid Koordinat Bul & Notepad,4,1000,,,KOORDINAT,com.eka.Coord_Bul,,4,https://play.google.com/store/apps/details?id=com.eka.Coord_Bul&hl=tr&gl=tr
Borealis - Icon Pack,4,50000,UTM,,,com.unvoid.borealis,,4.5263157,https://play.google.com/store/apps/details?id=com.unvoid.borealis&hl=tr&gl=tr
Garmin Connect™,4,10000000,,mission,,com.garmin.android.apps.connectmobile,,4.4025426,https://play.google.com/store/apps/details?id=com.garmin.android.apps.connectmobile&hl=tr&gl=tr
PlaySight,4,50000,,mission,,com.playsight.tennis,,,https://play.google.com/store/apps/details?id=com.playsight.tennis&hl=tr&gl=tr
Arken Optics,4,5000,,in the field,,com.pangu.dev,,,https://play.google.com/store/apps/details?id=com.pangu.dev&hl=tr&gl=tr
Yandex Navigator,4,100000000,,mission,,ru.yandex.yandexnavi,,4.6159105,https://play.google.com/store/apps/details?id=ru.yandex.yandexnavi&hl=tr&gl=tr
FBI FitTest,4,100000,,mission,,com.fbi.fittest,,2.2,https://play.google.com/store/apps/details?id=com.fbi.fittest&hl=tr&gl=tr
MEAM - The Meme Maker Pro,4,10000,,mission,,com.meam.pro,,0,https://play.google.com/store/apps/details?id=com.meam.pro&hl=tr&gl=tr
